source,target,value
2,1,夫妻，兄妹
3,1,兄弟
4,1,兄弟
5,1,兄妹
6,1,兄妹
7,1,父子
8,1,母子
9,7,兄弟
10,7,兄弟
11,7,兄弟
8,7,兄妹，夫妻
12,13,夫妻
12,7,父子
13,7,母子
14,13,兄妹
15,13,兄妹
16,13,姐妹
17,13,姐妹
18,13,父女
12,13,母子，无性生殖
19,1,堂兄
20,1,第一任妻子
21,1,父女
20,21,母女
22,1,姑姑，第二任妻子
23,22,母女
24,22,母女
25,1,第三任妻子
26,1,父女
25,26,母女
6,1,第四任妻子
27,1,父女
27,6,母女
4,27,夫妻
28,1,第五任妻子
29,1,父女
29,28,母女
30,1,第六任妻子
31,1,父女
31,30,母女
32,1,父子
32,30,母子
33,1,私生子
34,1,父子
35,1,父子
2,35,母子
31,36,暗恋
12,37,无性生殖
38,37,夫妻
39,40,夫妻
37,35,夫妻
39,37,母子
41,37,母子
